trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
124,False,"{'a': 0.975, 'e': 0.04330842067350151}",20,15,9.46339898515062,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.975, 'e': 0.04222571015666397}",20,16,8.536034683950632,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.975, 'e': 0.041170067402747375}",20,14,8.873220938241964,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.975, 'e': 0.04014081571767869}",30,14,30.813527458357402,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.975, 'e': 0.03913729532473672}",20,0,35.02923044486579,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
129,False,"{'a': 0.975, 'e': 0.0381588629416183}",20,16,7.67358728434968,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.975, 'e': 0.03720489136807784}",25,10,28.012751715638114,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.975, 'e': 0.0362747690838759}",25,18,14.107606674890203,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.975, 'e': 0.035367899856778996}",20,10,8.929717960888174,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.975, 'e': 0.03448370236035952}",20,9,16.860870658746016,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.975, 'e': 0.03362160980135053}",20,10,1.1778332270005274,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
135,False,"{'a': 0.975, 'e': 0.032781069556316766}",20,8,11.290026508530412,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.975, 'e': 0.031961542817408845}",20,11,19.84051078770739,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.975, 'e': 0.031162504246973623}",30,16,16.690335771248805,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.975, 'e': 0.030383441640799282}",25,16,19.15741150064702,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.975, 'e': 0.0296238555997793}",20,8,21.387088901356435,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.975, 'e': 0.028883259209784816}",20,9,23.37205858273305,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.975, 'e': 0.028161177729540195}",25,15,18.83521551123323,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
